segsites pi thetaW tajD het_o fst dxy ibs_bw_mean ibs_bw_skew ibs_bw_blocks_over_1e4 ibs_wi_mean ibs_wi_skew ibs_wi_blocks_over_1e4
86838 0.0016752467721518989 0.0017532477951025813 -0.15527645853082606 0.18505665722379602 0.06718240988394752 0.0017328485830200033 622.3949845644837 122.43870217336624 10444 654.7011020921477 547.4886105033437 19842
87185 0.0016904793670886077 0.0017602536794493028 -0.13834676194185963 0.18722658714228366 0.06607087154397356 0.0017474982674830822 615.1063401784786 53.36942140161597 9946 647.8209489395927 550.8419685639099 19394
87192 0.0016946234177215188 0.001760395008528343 -0.13039979649929942 0.18675165152766307 0.06555064748509248 0.001751467408181636 615.4729748091162 293.6263827476533 9892 646.7652292056405 551.1667810971603 19112
87799 0.0017090385126582277 0.0017726502586679974 -0.12524577425406835 0.18797452134990147 0.06467387452812591 0.0017654623315547877 608.7551092405183 108.99710398141336 10043 640.3634609295299 553.2806005660085 19198
86807 0.0016841140822784811 0.0017526219091811162 -0.1364270753521854 0.18694085730413446 0.06665673242788203 0.0017414624196110521 620.8263865001911 101.27584097497464 10405 654.5246969882362 546.1896394768653 19902
86209 0.0016750921202531644 0.0017405483678573717 -0.13125428584280235 0.18861052790311916 0.06561636501833489 0.0017310645055426315 621.2991350740213 678.9155732004411 10013 653.4883374454297 547.2820704869002 19074
86596 0.0016933497151898733 0.0017483618469414672 -0.10981855430291056 0.18886351563582612 0.06769200359762488 0.001751896535697052 614.4308963070337 87.40327060942901 10328 647.5341989859594 548.2084307524316 19548
86288 0.0016802138291139243 0.0017421433674636858 -0.1240687631027423 0.1891633251437048 0.06594215430355534 0.0017366425704151121 618.3836069714587 167.40163936875126 10060 650.155912177384 549.737159027534 19320
86830 0.0016863287341772149 0.0017530862761551066 -0.13290633014213551 0.18714729932051136 0.06594194209022203 0.001743154231096441 619.1864554549804 63.796133100483644 10549 651.251450990202 549.2615824916696 19928
87793 0.0017015988924050634 0.0017725291194573911 -0.13966474546743238 0.18701747291925322 0.06562983741969512 0.0017586439094072171 611.425220048504 87.0769713580848 9750 644.8202907618908 551.0703346259198 18996
87944 0.0017058965506329114 0.001775577789590979 -0.1369698608215278 0.18744286136632402 0.06553915661193836 0.0017629385133852498 610.3355822988384 289.3603122915664 10241 642.091500736271 551.7921281483599 19582
86800 0.0016892925949367086 0.0017524805801020756 -0.1258432441854716 0.1884141705069124 0.06493103275776724 0.0017452162358773012 615.7295121329031 96.00946976016277 10072 648.9254926702614 549.1670564023215 19404
86491 0.0016796098101265827 0.0017462419107558598 -0.13317651421661975 0.18788486663352258 0.06449288026955495 0.0017348449941987176 620.580645711977 208.25312085113663 10316 653.4401836681134 547.5723619015497 19648
87417 0.0017001258544303798 0.0017649377289260734 -0.12816632712471362 0.1871303636592425 0.06609479675229628 0.0017575598578637708 610.694925849205 85.94593492094695 10162 643.6597610650568 552.3441268912359 19532
88043 0.0017167756962025316 0.00177757658656598 -0.11937970264268624 0.18893495223924675 0.0651120538873889 0.0017737407063372816 605.9781924366063 114.94429340537174 10375 637.8865860175441 555.2274978899435 19612
87333 0.0016990760443037977 0.0017632417799775875 -0.12701061994849444 0.1871815350440269 0.0664446267227227 0.0017567922492872368 613.5973389220077 72.32087905243355 10130 645.3023183953144 549.9055471388122 19228
87360 0.0016861918670886072 0.001763786906425315 -0.15354531683848568 0.18623368818681318 0.06612445710056032 0.001743127250796191 617.6242161706003 88.91694683112118 10118 648.7325813813752 550.6255084618089 18808
87132 0.0016931681962025315 0.001759183616422282 -0.13097334024550653 0.18774474360740026 0.06380069066354838 0.001748297790583165 615.7897407589559 241.7549387517999 10594 647.4643011939249 550.8492910828079 19742
